1570168789.0,37.56177,126.932045
1570168817,np.nan,np.nan
1570168846,37.5603,126.934269
1570168911,37.559935,126.9357
1570168924,np.nan,np.nan
1570168937,np.nan,np.nan
1570168950,np.nan,np.nan
1570168966,37.559213,126.940321
1570169000,np.nan,np.nan
1570169034,37.558536,126.942704
1570169051,np.nan,np.nan
1570169068,np.nan,np.nan
1570169087,37.55622,126.940094
1570169148,37.555669,126.938424
1570169168,np.nan,np.nan
1570169188,np.nan,np.nan
1570169208,37.553844,126.934616
1570169223,np.nan,np.nan
1570169238,np.nan,np.nan
1570169253,np.nan,np.nan
1570169269,37.550606,126.93239
1570169329,37.549421,126.932013
1570169344,np.nan,np.nan
1570169359,np.nan,np.nan
1570169374,np.nan,np.nan
1570169389,37.5454,126.93032
1570169396,np.nan,np.nan
1570169403,np.nan,np.nan
1570169410,np.nan,np.nan
1570169417,np.nan,np.nan
1570169424,np.nan,np.nan
1570169431,np.nan,np.nan
1570169438,np.nan,np.nan
1570169450,37.538744,126.926013
1570169457,np.nan,np.nan
1570169464,np.nan,np.nan
1570169471,np.nan,np.nan
1570169478,np.nan,np.nan
1570169485,np.nan,np.nan
1570169492,np.nan,np.nan
1570169499,np.nan,np.nan
1570169510,37.532278,126.921706
1570169550,37.532163,126.921611
1570169570,np.nan,np.nan
1570169590,np.nan,np.nan
1570169610,np.nan,np.nan
1570169631,37.529526,126.91751
1570169692,37.528135,126.917521
1570169705,np.nan,np.nan
1570169718,np.nan,np.nan
1570169732,37.525924,126.919759
1570169743,np.nan,np.nan
1570169754,np.nan,np.nan
1570169765,np.nan,np.nan
1570169776,np.nan,np.nan
1570169787,np.nan,np.nan
1570169798,np.nan,np.nan
1570169813,37.520689,126.924868
1570169841,np.nan,np.nan
1570169869,37.518853,126.926661
1570169880,np.nan,np.nan
1570169891,np.nan,np.nan
1570169902,np.nan,np.nan
1570169914,37.514722,126.926873
1570169922,np.nan,np.nan
1570169930,np.nan,np.nan
1570169938,np.nan,np.nan
1570169946,np.nan,np.nan
1570169956,37.509871,126.924054
1570170001,37.509871,126.924054
1570170016,np.nan,np.nan
1570170031,np.nan,np.nan
1570170046,np.nan,np.nan
1570170061,np.nan,np.nan
1570170076,np.nan,np.nan
1570170095,37.504448,126.921939
1570170156,37.503324,126.921418
1570170182,np.nan,np.nan
1570170208,np.nan,np.nan
1570170236,37.499809,126.922
1570170256,np.nan,np.nan
1570170276,np.nan,np.nan
1570170296,37.499696,126.926341
1570170356,37.49883,126.928025
1570170378,37.497775,126.927841
1570170406,np.nan,np.nan
1570170434,np.nan,np.nan
1570170462,37.494757,126.927191
1570170489,np.nan,np.nan
1570170517,37.492367,126.926634
1570170557,np.nan,np.nan
1570170597,37.490088,126.9275
1570170657,37.48984,126.927622
1570170697,37.489963,126.925952
1570170727,np.nan,np.nan
1570170758,37.490033,126.92338
1570170783,np.nan,np.nan
1570170808,np.nan,np.nan
1570170834,37.492662,126.924408
1570170879,37.492787,126.924318
1570170899,37.492786,126.924327
1570170899,37.492786,126.924327
1570170899,37.492786,126.924327
1570171119,37.492783,126.924344
1570171194,37.492786,126.924329
1570171240,37.492718,126.924767
1570171300,37.492709,126.924823
1570171360,37.492413,126.926714
1570171397,np.nan,np.nan
1570171435,37.494514,126.927398
1570171481,37.495775,126.927577
1570171501,np.nan,np.nan
1570171521,np.nan,np.nan
1570171542,37.498493,126.928114
1570171602,37.499052,126.928197
1570171637,np.nan,np.nan
1570171672,37.499807,126.926074
1570171687,np.nan,np.nan
1570171702,np.nan,np.nan
1570171717,np.nan,np.nan
1570171732,37.49993,126.92129
1570171757,np.nan,np.nan
1570171783,37.502027,126.92114
1570171819,np.nan,np.nan
1570171855,37.503833,126.921849
1570171867,np.nan,np.nan
1570171879,np.nan,np.nan
1570171893,37.506935,126.923275
1570171917,np.nan,np.nan
1570171941,np.nan,np.nan
1570171965,37.509805,126.924281
1570171980,np.nan,np.nan
1570171995,np.nan,np.nan
1570172010,np.nan,np.nan
1570172025,37.513799,126.926342
1570172045,np.nan,np.nan
1570172065,np.nan,np.nan
1570172085,37.516278,126.928137
1570172115,np.nan,np.nan
1570172146,37.518751,126.927123
1570172206,37.519476,126.926392
1570172236,np.nan,np.nan
1570172267,37.521438,126.924675
1570172287,np.nan,np.nan
1570172307,37.522933,126.923196
1570172318,np.nan,np.nan
1570172329,np.nan,np.nan
1570172340,np.nan,np.nan
1570172351,np.nan,np.nan
1570172362,np.nan,np.nan
1570172373,np.nan,np.nan
1570172388,37.52821,126.917846
1570172448,37.52954,126.917819
1570172458,np.nan,np.nan
1570172468,np.nan,np.nan
1570172478,np.nan,np.nan
1570172488,np.nan,np.nan
1570172498,np.nan,np.nan
1570172508,37.533923,126.923007
1570172514,np.nan,np.nan
1570172520,np.nan,np.nan
1570172526,np.nan,np.nan
1570172532,np.nan,np.nan
1570172538,np.nan,np.nan
1570172544,np.nan,np.nan
1570172550,np.nan,np.nan
1570172556,np.nan,np.nan
1570172569,37.54134,126.927954
1570172577,np.nan,np.nan
1570172585,np.nan,np.nan
1570172593,np.nan,np.nan
1570172601,np.nan,np.nan
1570172609,np.nan,np.nan
1570172617,np.nan,np.nan
