1570054525.0,37.517143,127.01439
1570054581,37.515765,127.013966
1570054642,37.515579,127.013153
1570054672,np.nan,np.nan
1570054702,37.517026,127.010689
1570054762,37.51701,127.010715
1570054822,37.516529,127.009862
1570054837,np.nan,np.nan
1570054852,np.nan,np.nan
1570054867,np.nan,np.nan
1570054883,37.513682,127.006922
1570054913,np.nan,np.nan
1570054943,37.51103,127.006915
1570055003,37.510468,127.00722
1570055023,np.nan,np.nan
1570055043,np.nan,np.nan
1570055063,37.507896,127.008669
1570055083,np.nan,np.nan
1570055103,np.nan,np.nan
1570055124,37.506297,127.00513
1570055184,37.506162,127.004689
1570055204,np.nan,np.nan
1570055224,np.nan,np.nan
1570055245,37.506944,127.00039
1570055274,np.nan,np.nan
1570055304,37.508876,126.999288
1570055365,37.509675,126.99899
1570055385,np.nan,np.nan
1570055405,np.nan,np.nan
1570055425,37.512674,126.997563
1570055433,np.nan,np.nan
1570055441,np.nan,np.nan
1570055449,np.nan,np.nan
1570055457,np.nan,np.nan
1570055465,np.nan,np.nan
1570055473,np.nan,np.nan
1570055485,37.518572,126.994681
1570055493,np.nan,np.nan
1570055501,np.nan,np.nan
1570055509,np.nan,np.nan
1570055517,np.nan,np.nan
1570055525,np.nan,np.nan
1570055533,np.nan,np.nan
1570055545,37.524734,126.992624
1570055565,np.nan,np.nan
1570055585,np.nan,np.nan
1570055605,37.527509,126.991631
1570055625,np.nan,np.nan
1570055645,np.nan,np.nan
1570055667,37.530746,126.9908
1570055680,np.nan,np.nan
1570055693,np.nan,np.nan
1570055706,37.53308,126.988993
1570055722,np.nan,np.nan
1570055738,np.nan,np.nan
1570055754,np.nan,np.nan
1570055770,np.nan,np.nan
1570055786,37.537625,126.986774
1570055816,np.nan,np.nan
1570055847,37.539941,126.987434
1570055862,np.nan,np.nan
1570055877,np.nan,np.nan
1570055892,np.nan,np.nan
1570055907,37.544025,126.988613
1570055921,37.544025,126.988613
1570055927,np.nan,np.nan
1570055933,np.nan,np.nan
1570055939,np.nan,np.nan
1570055945,np.nan,np.nan
1570055951,np.nan,np.nan
1570055957,np.nan,np.nan
1570055963,np.nan,np.nan
1570055969,np.nan,np.nan
1570055975,np.nan,np.nan
1570055981,np.nan,np.nan
1570055987,np.nan,np.nan
1570055993,np.nan,np.nan
1570055999,np.nan,np.nan
1570056018,37.556819,126.983369
1570056034,np.nan,np.nan
1570056050,np.nan,np.nan
1570056068,37.560022,126.982313
1570056088,np.nan,np.nan
1570056108,np.nan,np.nan
1570056128,37.562974,126.98191
1570056188,37.563921,126.982212
1570056218,np.nan,np.nan
1570056248,37.565775,126.982696
1570056322,37.567519,126.982929
1570056322,37.567519,126.982929
1570056375,np.nan,np.nan
1570056428,37.570003,126.983225
1570056488,37.570104,126.984156
1570056568,37.570096,126.985
1570056628,37.570088,126.985946
1570056669,37.570086,126.986292
1570056699,np.nan,np.nan
1570056729,37.570151,126.988829
1570056789,37.570181,126.989347
1570056862,37.570186,126.989438
1570056877,np.nan,np.nan
1570056892,np.nan,np.nan
1570056907,np.nan,np.nan
1570056923,37.570422,126.994743
1570056970,37.570573,126.996881
1570057030,37.570709,126.998656
1570057102,37.570736,126.999144
1570057126,np.nan,np.nan
1570057150,37.570883,127.001747
1570057167,np.nan,np.nan
1570057184,np.nan,np.nan
1570057201,np.nan,np.nan
1570057218,37.574749,127.002133
1570057271,37.575578,127.002181
1570057294,np.nan,np.nan
1570057317,37.578043,127.002437
1570057344,np.nan,np.nan
1570057371,np.nan,np.nan
1570057399,37.581119,127.002277
1570057430,37.581119,127.002277
1570057457,np.nan,np.nan
1570057484,np.nan,np.nan
1570057512,37.584446,127.001557
1570057542,np.nan,np.nan
1570057572,37.58685,127.002532
1570057592,np.nan,np.nan
1570057612,np.nan,np.nan
1570057633,37.588167,127.005563
1570057693,37.588171,127.005572
1570057723,np.nan,np.nan
1570057753,37.589214,127.008099
1570057768,np.nan,np.nan
1570057783,np.nan,np.nan
1570057798,np.nan,np.nan
1570057813,37.591267,127.012324
1570057873,37.591535,127.012834
1570057890,np.nan,np.nan
1570057907,np.nan,np.nan
1570057924,np.nan,np.nan
1570057943,37.593306,127.017839
1570057993,37.59321,127.017689
1570058053,37.594193,127.018815
1570058068,np.nan,np.nan
1570058083,np.nan,np.nan
1570058098,np.nan,np.nan
1570058113,37.597925,127.021794
1570058125,np.nan,np.nan
1570058137,np.nan,np.nan
1570058149,np.nan,np.nan
1570058161,np.nan,np.nan
1570058173,np.nan,np.nan
1570058185,37.603182,127.023686
1570058234,37.603165,127.023627
1570058295,37.604075,127.025059
1570058325,np.nan,np.nan
1570058355,37.601915,127.023559
1570058385,np.nan,np.nan
1570058415,37.601992,127.020873
1570058475,37.602425,127.019299
1570058497,np.nan,np.nan
1570058519,np.nan,np.nan
1570058542,37.603698,127.015114
1570058596,37.603576,127.014941
1570058656,37.603743,127.013522
1570058716,37.604146,127.012481
1570058787,37.605509,127.01136
1570058803,np.nan,np.nan
1570058819,np.nan,np.nan
1570058836,37.608303,127.00999
1570058866,np.nan,np.nan
1570058896,37.610788,127.009019
1570058918,np.nan,np.nan
1570058940,np.nan,np.nan
1570058963,37.61351,127.006451
1570058990,np.nan,np.nan
1570059017,37.615991,127.005366
1570059086,37.616816,127.00343
