1570054501.0,37.521139,127.056241
1570054517,np.nan,np.nan
1570054533,np.nan,np.nan
1570054549,np.nan,np.nan
1570054565,np.nan,np.nan
1570054582,37.516271,127.058885
1570054597,np.nan,np.nan
1570054612,np.nan,np.nan
1570054627,np.nan,np.nan
1570054642,37.51238,127.061037
1570054672,np.nan,np.nan
1570054702,37.510124,127.06228
1570054722,np.nan,np.nan
1570054742,np.nan,np.nan
1570054764,37.507243,127.063652
1570054793,np.nan,np.nan
1570054823,37.505609,127.064707
1570054843,np.nan,np.nan
1570054863,np.nan,np.nan
1570054884,37.504074,127.061497
1570054913,np.nan,np.nan
1570054943,37.503352,127.059318
1570055003,37.503109,127.05861
1570055033,np.nan,np.nan
1570055064,37.50132,127.059373
1570055124,37.500912,127.059595
1570055184,37.500446,127.059849
1570055244,37.500344,127.059905
1570055304,37.499448,127.06038
1570055364,37.499409,127.0604
1570055416,37.497937,127.061155
1570055480,37.497937,127.061155
1570055504,np.nan,np.nan
1570055529,37.496098,127.062277
1570055567,np.nan,np.nan
1570055605,37.494464,127.063354
1570055629,np.nan,np.nan
1570055653,37.492319,127.064239
1570055671,np.nan,np.nan
1570055689,np.nan,np.nan
1570055707,np.nan,np.nan
1570055725,37.488489,127.066123
1570055750,np.nan,np.nan
1570055776,37.48653,127.067244
1570055844,37.48653,127.067244
1570055859,np.nan,np.nan
1570055874,np.nan,np.nan
1570055889,np.nan,np.nan
1570055905,37.483553,127.063564
1570055947,37.48264,127.062408
1570055980,np.nan,np.nan
1570056014,37.480169,127.063512
1570056067,37.479561,127.064171
1570056087,np.nan,np.nan
1570056107,np.nan,np.nan
1570056127,37.480983,127.068084
1570056147,np.nan,np.nan
1570056167,np.nan,np.nan
1570056187,37.482916,127.07105
1570056217,np.nan,np.nan
1570056247,37.484548,127.073292
1570056308,37.485353,127.07449
1570056308,37.485353,127.07449
1570056308,37.485353,127.07449
1570056308,37.485353,127.07449
1570056548,37.485258,127.07397
1570056563,np.nan,np.nan
