1570133906.0,37.660809,127.013424
1570133951,37.659114,127.013863
1570133965,np.nan,np.nan
1570133979,np.nan,np.nan
1570133993,np.nan,np.nan
1570134007,np.nan,np.nan
1570134022,37.654607,127.012832
1570134071,37.654002,127.012734
1570134108,np.nan,np.nan
1570134145,37.651454,127.012735
1570134168,np.nan,np.nan
1570134191,37.649452,127.013687
1570134209,np.nan,np.nan
1570134227,np.nan,np.nan
1570134245,np.nan,np.nan
1570134265,37.646758,127.017095
1570134325,37.646551,127.017595
1570134349,np.nan,np.nan
1570134374,37.644946,127.019879
1570134402,np.nan,np.nan
1570134431,37.643413,127.021963
1570134491,37.642535,127.023238
1570134513,np.nan,np.nan
1570134535,np.nan,np.nan
1570134559,37.640412,127.02602
1570134611,37.640321,127.026387
1570134641,np.nan,np.nan
1570134671,37.638363,127.025868
1570134734,37.637984,127.025455
1570134753,np.nan,np.nan
1570134772,np.nan,np.nan
1570134792,37.635349,127.023179
1570134852,37.634486,127.023237
1570134873,np.nan,np.nan
1570134894,np.nan,np.nan
1570134916,37.631226,127.024172
1570134934,np.nan,np.nan
1570134952,np.nan,np.nan
1570134972,37.628048,127.025398
1570134992,np.nan,np.nan
1570135012,np.nan,np.nan
1570135032,37.62487,127.026649
1570135042,np.nan,np.nan
1570135052,np.nan,np.nan
1570135062,np.nan,np.nan
1570135072,np.nan,np.nan
1570135082,np.nan,np.nan
1570135094,37.619232,127.028892
1570135123,np.nan,np.nan
1570135153,37.617361,127.029669
1570135213,37.616306,127.029833
1570135223,np.nan,np.nan
1570135233,37.613762,127.029933
1570135295,37.613762,127.029933
1570135295,37.613762,127.029933
1570135317,np.nan,np.nan
1570135339,np.nan,np.nan
1570135361,np.nan,np.nan
1570135383,np.nan,np.nan
1570135405,np.nan,np.nan
1570135427,np.nan,np.nan
1570135454,37.606795,127.028123
1570135484,np.nan,np.nan
1570135514,37.605238,127.026331
1570135529,np.nan,np.nan
1570135544,np.nan,np.nan
1570135559,np.nan,np.nan
1570135575,37.60234,127.022238
1570135607,np.nan,np.nan
1570135640,37.602478,127.019117
1570135658,np.nan,np.nan
1570135676,np.nan,np.nan
1570135695,37.603547,127.015352
1570135755,37.603798,127.013275
1570135775,np.nan,np.nan
1570135795,np.nan,np.nan
1570135815,37.605323,127.010059
1570135845,np.nan,np.nan
1570135875,37.606,127.007568
1570135895,np.nan,np.nan
1570135915,np.nan,np.nan
1570135935,37.607758,127.004351
1570135958,np.nan,np.nan
1570135981,np.nan,np.nan
1570136005,37.60863,127.00006
1570136030,np.nan,np.nan
1570136055,37.609363,126.997623
1570136070,np.nan,np.nan
1570136085,np.nan,np.nan
1570136100,np.nan,np.nan
1570136115,37.61139,126.993121
1570136135,37.611717,126.991006
1570136145,np.nan,np.nan
1570136155,np.nan,np.nan
1570136165,np.nan,np.nan
1570136175,np.nan,np.nan
1570136185,np.nan,np.nan
1570136195,np.nan,np.nan
1570136205,np.nan,np.nan
1570136215,np.nan,np.nan
1570136225,np.nan,np.nan
1570136236,37.611399,126.978958
1570136256,np.nan,np.nan
1570136276,np.nan,np.nan
1570136296,37.609769,126.974983
1570136311,np.nan,np.nan
1570136326,np.nan,np.nan
1570136341,np.nan,np.nan
1570136356,37.607163,126.971351
1570136417,37.606615,126.96958
1570136437,np.nan,np.nan
1570136457,np.nan,np.nan
1570136477,37.605374,126.966254
1570136497,np.nan,np.nan
1570136517,np.nan,np.nan
1570136537,37.603954,126.962484
1570136599,37.602502,126.96122
1570136629,np.nan,np.nan
1570136659,37.600733,126.958722
1570136675,np.nan,np.nan
1570136691,np.nan,np.nan
1570136707,np.nan,np.nan
1570136725,37.59691,126.956263
1570136751,np.nan,np.nan
1570136778,37.596633,126.953374
1570136838,37.595768,126.952185
1570136859,np.nan,np.nan
1570136880,np.nan,np.nan
1570136902,37.595642,126.948705
1570136930,np.nan,np.nan
1570136959,37.593351,126.947601
1570137019,37.592632,126.94692
1570137079,37.591878,126.944948
1570137112,np.nan,np.nan
1570137145,37.59195,126.942612
1570137160,np.nan,np.nan
1570137175,np.nan,np.nan
1570137190,37.590219,126.938735
1570137190,37.590219,126.938735
1570137274,37.590219,126.938735
1570137300,np.nan,np.nan
1570137326,np.nan,np.nan
1570137352,np.nan,np.nan
1570137381,37.587123,126.935039
1570137392,np.nan,np.nan
1570137403,np.nan,np.nan
1570137414,np.nan,np.nan
1570137425,np.nan,np.nan
1570137440,37.582328,126.936094
1570137501,37.582123,126.936097
1570137521,np.nan,np.nan
1570137541,np.nan,np.nan
1570137561,37.579123,126.936009
1570137576,np.nan,np.nan
1570137591,np.nan,np.nan
1570137606,np.nan,np.nan
1570137624,37.575182,126.935139
