1570054510.0,37.621047,127.012378
1570054540,np.nan,np.nan
1570054570,37.623004,127.013254
1570054600,np.nan,np.nan
1570054630,37.624949,127.012475
1570054648,np.nan,np.nan
1570054666,np.nan,np.nan
1570054684,np.nan,np.nan
1570054704,37.629153,127.013104
1570054727,np.nan,np.nan
1570054751,37.631053,127.013782
