1570169510.0,37.632094,127.013623
1570169530,np.nan,np.nan
1570169550,np.nan,np.nan
1570169570,37.628613,127.012652
1570169585,np.nan,np.nan
1570169600,np.nan,np.nan
1570169615,np.nan,np.nan
1570169631,37.624573,127.012446
1570169661,np.nan,np.nan
1570169691,37.621936,127.012785
1570169752,37.621382,127.01249
1570169812,37.620171,127.012741
1570169872,37.620158,127.014851
1570169892,np.nan,np.nan
1570169912,np.nan,np.nan
1570169933,37.619923,127.018378
1570169953,np.nan,np.nan
1570169973,np.nan,np.nan
1570169994,37.618146,127.021395
1570170014,np.nan,np.nan
1570170034,np.nan,np.nan
1570170055,37.614897,127.022129
1570170115,37.613328,127.022049
1570170129,37.611532,127.022039
1570170223,37.611532,127.022039
1570170233,np.nan,np.nan
1570170243,np.nan,np.nan
1570170253,np.nan,np.nan
1570170263,np.nan,np.nan
1570170273,np.nan,np.nan
1570170283,np.nan,np.nan
1570170297,37.605429,127.024253
1570170327,np.nan,np.nan
1570170358,37.603276,127.02359
1570170367,np.nan,np.nan
1570170376,np.nan,np.nan
1570170385,np.nan,np.nan
1570170394,np.nan,np.nan
1570170403,37.598811,127.021709
1570170476,37.598492,127.021664
1570170483,np.nan,np.nan
1570170490,np.nan,np.nan
1570170497,np.nan,np.nan
1570170504,np.nan,np.nan
1570170511,np.nan,np.nan
1570170521,37.593743,127.018131
1570170540,np.nan,np.nan
1570170559,np.nan,np.nan
1570170579,37.592378,127.014484
1570170640,37.590602,127.014489
1570170700,37.590028,127.015196
1570170730,np.nan,np.nan
1570170760,37.588116,127.017548
1570170824,37.587869,127.017791
1570170834,np.nan,np.nan
1570170844,37.585851,127.018921
1570170941,37.585091,127.019407
1570170953,np.nan,np.nan
1570170965,np.nan,np.nan
1570170977,np.nan,np.nan
1570170989,np.nan,np.nan
1570171005,37.580451,127.021863
1570171033,np.nan,np.nan
1570171061,37.578664,127.02285
1570171082,np.nan,np.nan
1570171103,np.nan,np.nan
1570171126,37.575523,127.022632
1570171144,np.nan,np.nan
1570171162,np.nan,np.nan
1570171181,37.574228,127.019415
1570171211,np.nan,np.nan
1570171241,37.573416,127.0168
1570171261,np.nan,np.nan
1570171281,np.nan,np.nan
1570171301,37.572197,127.012605
1570171331,np.nan,np.nan
1570171361,37.571636,127.009982
1570171381,np.nan,np.nan
1570171401,np.nan,np.nan
1570171422,37.57116,127.005852
1570171442,np.nan,np.nan
1570171462,np.nan,np.nan
1570171482,37.570941,127.001833
1570171522,37.569885,127.001898
1570171603,37.569244,127.001946
1570171658,37.56791,127.002047
1570171690,np.nan,np.nan
1570171723,37.56676,126.999275
1570171784,37.566674,126.997497
1570171799,np.nan,np.nan
1570171814,np.nan,np.nan
1570171829,np.nan,np.nan
1570171844,37.566435,126.992621
1570171864,np.nan,np.nan
1570171884,np.nan,np.nan
1570171904,37.566267,126.989208
1570171964,37.56623,126.988072
1570172025,37.566187,126.986756
1570172055,np.nan,np.nan
1570172085,37.566141,126.983949
1570172126,37.566041,126.982566
1570172191,37.564492,126.982065
1570172209,np.nan,np.nan
1570172227,np.nan,np.nan
1570172245,np.nan,np.nan
1570172266,37.561248,126.978793
1570172296,np.nan,np.nan
1570172327,37.56051,126.976141
1570172357,np.nan,np.nan
1570172387,37.558858,126.973991
1570172447,37.55771,126.972962
1570172507,37.557702,126.972955
1570172542,np.nan,np.nan
1570172577,37.555475,126.972503
1570172628,37.554053,126.973236
1570172639,np.nan,np.nan
1570172650,np.nan,np.nan
1570172661,np.nan,np.nan
1570172672,np.nan,np.nan
1570172686,37.549534,126.971708
1570172722,37.549534,126.971708
1570172722,37.549534,126.971708
1570172747,np.nan,np.nan
1570172772,np.nan,np.nan
1570172797,np.nan,np.nan
1570172822,np.nan,np.nan
1570172847,np.nan,np.nan
1570172874,37.543756,126.972232
1570172887,np.nan,np.nan
1570172900,np.nan,np.nan
1570172913,np.nan,np.nan
1570172929,37.539649,126.973295
1570172949,np.nan,np.nan
1570172969,np.nan,np.nan
1570172989,37.536544,126.974104
1570173049,37.535144,126.973469
1570173065,np.nan,np.nan
1570173081,np.nan,np.nan
1570173097,np.nan,np.nan
1570173115,37.53205,126.970564
1570173115,37.53205,126.970564
1570173144,np.nan,np.nan
1570173173,np.nan,np.nan
1570173202,np.nan,np.nan
1570173231,37.529184,126.967727
1570173251,np.nan,np.nan
1570173271,np.nan,np.nan
1570173291,37.526834,126.965449
1570173311,np.nan,np.nan
1570173331,np.nan,np.nan
1570173352,37.524494,126.963292
1570173372,np.nan,np.nan
1570173392,np.nan,np.nan
1570173412,37.522171,126.961492
1570173422,np.nan,np.nan
1570173432,np.nan,np.nan
1570173442,np.nan,np.nan
1570173452,np.nan,np.nan
1570173465,37.517671,126.958593
1570173476,np.nan,np.nan
1570173487,np.nan,np.nan
1570173498,np.nan,np.nan
1570173509,np.nan,np.nan
1570173520,np.nan,np.nan
1570173533,37.512713,126.95419
1570173553,np.nan,np.nan
1570173573,37.512586,126.951176
1570173614,np.nan,np.nan
1570173656,37.513315,126.947977
1570173675,np.nan,np.nan
1570173694,np.nan,np.nan
1570173713,37.513729,126.943843
1570173776,37.513794,126.942777
1570173833,37.513664,126.940598
1570173863,np.nan,np.nan
1570173893,37.51156,126.940108
1570173909,np.nan,np.nan
1570173925,np.nan,np.nan
1570173943,37.508211,126.939968
1570173966,np.nan,np.nan
1570173989,np.nan,np.nan
1570174014,37.505201,126.939341
1570174074,37.504138,126.937715
1570174083,np.nan,np.nan
1570174092,np.nan,np.nan
1570174101,np.nan,np.nan
1570174110,np.nan,np.nan
1570174119,np.nan,np.nan
