1570168764.0,37.508211,126.939968
1570168782,np.nan,np.nan
1570168800,np.nan,np.nan
1570168818,np.nan,np.nan
1570168839,37.504676,126.938522
1570168858,np.nan,np.nan
1570168877,np.nan,np.nan
1570168896,np.nan,np.nan
1570168917,37.50226,126.93466
1570168931,np.nan,np.nan
1570168945,np.nan,np.nan
1570168959,np.nan,np.nan
1570168976,37.499996,126.930909
1570169037,37.499738,126.929217
1570169055,np.nan,np.nan
1570169073,37.497775,126.927841
1570169094,np.nan,np.nan
1570169115,np.nan,np.nan
1570169136,np.nan,np.nan
1570169157,37.494196,126.927197
1570169157,37.494196,126.927197
1570169181,np.nan,np.nan
1570169205,np.nan,np.nan
1570169229,np.nan,np.nan
1570169253,np.nan,np.nan
1570169277,37.489708,126.927688
1570169297,np.nan,np.nan
1570169317,np.nan,np.nan
1570169337,37.486745,126.92904
1570169352,np.nan,np.nan
1570169367,np.nan,np.nan
1570169382,np.nan,np.nan
1570169397,37.482922,126.929707
1570169457,37.482573,126.929755
1570169477,np.nan,np.nan
1570169497,np.nan,np.nan
1570169517,37.479764,126.930634
1570169526,np.nan,np.nan
1570169536,37.477918,126.932724
1570169637,37.47738,126.934876
1570169667,np.nan,np.nan
1570169697,37.474754,126.935574
1570169727,np.nan,np.nan
1570169757,37.473045,126.933033
1570169817,37.471582,126.933672
1570169847,np.nan,np.nan
1570169877,37.469823,126.932956
1570169897,np.nan,np.nan
1570169917,np.nan,np.nan
1570169937,37.466599,126.931319
1570169985,37.465421,126.931325
1570169995,np.nan,np.nan
1570170005,np.nan,np.nan
1570170015,np.nan,np.nan
1570170025,np.nan,np.nan
1570170035,np.nan,np.nan
1570170045,np.nan,np.nan
1570170057,37.458998,126.930207
1570170081,np.nan,np.nan
1570170106,37.460173,126.927488
1570170113,np.nan,np.nan
1570170121,37.461213,126.92536
1570170218,37.461158,126.923432
1570170230,np.nan,np.nan
1570170242,np.nan,np.nan
1570170254,np.nan,np.nan
1570170266,np.nan,np.nan
1570170279,37.456706,126.92076
1570170291,np.nan,np.nan
1570170303,np.nan,np.nan
1570170315,np.nan,np.nan
1570170327,np.nan,np.nan
1570170339,37.452061,126.920649
1570170349,np.nan,np.nan
1570170359,np.nan,np.nan
1570170369,np.nan,np.nan
1570170379,np.nan,np.nan
1570170389,np.nan,np.nan
1570170400,37.446643,126.918873
1570170415,np.nan,np.nan
1570170430,np.nan,np.nan
1570170445,np.nan,np.nan
1570170460,37.44294,126.915839
1570170466,np.nan,np.nan
1570170472,np.nan,np.nan
1570170478,np.nan,np.nan
1570170484,np.nan,np.nan
1570170490,np.nan,np.nan
1570170496,np.nan,np.nan
1570170502,np.nan,np.nan
1570170508,np.nan,np.nan
1570170521,37.434333,126.914127
1570170549,np.nan,np.nan
1570170577,37.432337,126.915125
1570170593,np.nan,np.nan
1570170609,np.nan,np.nan
1570170625,np.nan,np.nan
1570170641,37.436038,126.914435
1570170682,37.436201,126.914477
1570170682,37.436201,126.914477
1570170682,37.436201,126.914477
1570170882,37.437354,126.914771
1570170888,np.nan,np.nan
1570170894,np.nan,np.nan
1570170900,np.nan,np.nan
1570170906,np.nan,np.nan
1570170912,np.nan,np.nan
1570170918,np.nan,np.nan
1570170924,np.nan,np.nan
1570170930,np.nan,np.nan
1570170936,np.nan,np.nan
1570170951,37.446248,126.918783
1570170968,np.nan,np.nan
1570170985,np.nan,np.nan
1570171002,37.448444,126.921048
1570171016,np.nan,np.nan
1570171030,np.nan,np.nan
1570171044,np.nan,np.nan
1570171058,np.nan,np.nan
1570171074,37.453075,126.921167
1570171083,np.nan,np.nan
1570171092,np.nan,np.nan
1570171101,np.nan,np.nan
1570171110,np.nan,np.nan
1570171119,np.nan,np.nan
1570171132,37.458647,126.922343
1570171152,np.nan,np.nan
1570171172,np.nan,np.nan
1570171192,37.461106,126.925091
1570171218,np.nan,np.nan
1570171244,37.45965,126.927525
1570171277,np.nan,np.nan
1570171310,37.458748,126.930041
1570171323,np.nan,np.nan
1570171336,np.nan,np.nan
1570171349,np.nan,np.nan
1570171365,37.462832,126.931783
1570171384,np.nan,np.nan
1570171403,np.nan,np.nan
1570171424,37.465971,126.931399
1570171484,37.467645,126.931899
1570171504,np.nan,np.nan
1570171524,np.nan,np.nan
1570171545,37.470803,126.933635
1570171605,37.47153,126.93402
1570171635,np.nan,np.nan
1570171665,37.473949,126.934395
1570171685,np.nan,np.nan
1570171705,np.nan,np.nan
1570171725,37.47633,126.937353
1570171785,37.477241,126.937533
1570171800,np.nan,np.nan
1570171815,np.nan,np.nan
1570171830,np.nan,np.nan
1570171848,37.47865,126.932386
1570171877,np.nan,np.nan
1570171906,37.480582,126.930281
1570171966,37.482071,126.92994
1570172026,37.483365,126.929819
1570172086,37.483907,126.92977
1570172126,37.483989,126.929763
1570172206,37.485026,126.929646
1570172226,np.nan,np.nan
1570172246,np.nan,np.nan
1570172267,37.487934,126.928631
1570172327,37.488752,126.928267
1570172360,np.nan,np.nan
1570172394,37.490637,126.92739
1570172407,np.nan,np.nan
1570172420,np.nan,np.nan
1570172433,np.nan,np.nan
1570172447,37.494484,126.927266
1570172507,37.495755,126.927572
1570172537,np.nan,np.nan
1570172567,37.498332,126.928087
1570172587,np.nan,np.nan
1570172607,np.nan,np.nan
1570172628,37.500268,126.93159
1570172693,37.50047,126.931932
1570172704,np.nan,np.nan
1570172715,np.nan,np.nan
1570172726,np.nan,np.nan
1570172737,np.nan,np.nan
1570172748,37.503356,126.936651
1570172813,37.503772,126.937332
1570172826,np.nan,np.nan
1570172839,np.nan,np.nan
1570172852,np.nan,np.nan
1570172868,37.507162,126.939969
1570172890,np.nan,np.nan
1570172912,np.nan,np.nan
1570172935,37.510453,126.940337
1570172962,np.nan,np.nan
1570172989,37.512922,126.940274
1570173049,37.513606,126.941792
1570173064,np.nan,np.nan
1570173079,np.nan,np.nan
1570173094,np.nan,np.nan
1570173109,37.5134,126.946643
1570173139,np.nan,np.nan
1570173170,37.512779,126.9492
1570173185,np.nan,np.nan
1570173200,np.nan,np.nan
1570173215,np.nan,np.nan
1570173230,37.51258,126.953749
1570173290,37.512588,126.954203
1570173350,37.512636,126.954522
1570173359,np.nan,np.nan
1570173368,np.nan,np.nan
1570173377,np.nan,np.nan
1570173386,np.nan,np.nan
1570173395,np.nan,np.nan
1570173407,37.517364,126.959038
1570173419,np.nan,np.nan
1570173431,np.nan,np.nan
1570173443,np.nan,np.nan
1570173455,np.nan,np.nan
1570173470,37.522177,126.96179
1570173530,37.522213,126.961804
1570173563,np.nan,np.nan
1570173596,37.52409,126.963192
1570173610,np.nan,np.nan
1570173624,np.nan,np.nan
1570173638,np.nan,np.nan
1570173655,37.527293,126.966207
1570173683,np.nan,np.nan
