1570118364.0,37.67275,127.044333
1570118381,np.nan,np.nan
1570118398,np.nan,np.nan
1570118415,np.nan,np.nan
1570118433,37.677076,127.044964
1570118493,37.677887,127.045104
1570118505,np.nan,np.nan
1570118517,np.nan,np.nan
1570118529,np.nan,np.nan
1570118541,np.nan,np.nan
1570118553,37.682923,127.045983
1570118568,np.nan,np.nan
1570118583,np.nan,np.nan
1570118598,np.nan,np.nan
1570118614,37.686995,127.045944
1570118644,np.nan,np.nan
1570118674,37.688849,127.045634
