1570118361.0,37.665495,127.043013
1570118381,np.nan,np.nan
1570118401,np.nan,np.nan
1570118421,37.668892,127.043601
1570118482,37.669867,127.043766
1570118498,np.nan,np.nan
1570118514,np.nan,np.nan
1570118531,37.67275,127.044333
1570118545,np.nan,np.nan
1570118559,np.nan,np.nan
1570118573,np.nan,np.nan
1570118587,np.nan,np.nan
1570118602,37.677383,127.045017
1570118622,np.nan,np.nan
1570118642,np.nan,np.nan
1570118662,37.680451,127.045533
1570118674,np.nan,np.nan
1570118686,np.nan,np.nan
1570118698,np.nan,np.nan
1570118710,np.nan,np.nan
1570118722,37.68501,127.046135
1570118744,np.nan,np.nan
1570118766,np.nan,np.nan
1570118789,37.688568,127.045813
1570118842,37.690089,127.045479
