1570172088.0,37.616928,127.002825
1570172118,np.nan,np.nan
1570172148,37.616088,127.00513
1570172178,np.nan,np.nan
1570172208,37.613547,127.006251
1570172268,37.612951,127.007083
1570172328,37.611621,127.008429
1570172350,np.nan,np.nan
1570172372,np.nan,np.nan
1570172396,37.608465,127.009821
1570172413,np.nan,np.nan
1570172430,np.nan,np.nan
1570172449,37.605816,127.011143
1570172509,37.60489,127.011584
1570172535,37.604689,127.011655
1570172566,np.nan,np.nan
1570172597,np.nan,np.nan
1570172630,37.603302,127.014581
1570172650,np.nan,np.nan
1570172670,np.nan,np.nan
1570172691,37.602481,127.018771
1570172751,37.60201,127.020407
1570172771,np.nan,np.nan
1570172791,np.nan,np.nan
1570172812,37.598706,127.021679
1570172822,np.nan,np.nan
1570172832,np.nan,np.nan
1570172842,np.nan,np.nan
1570172852,np.nan,np.nan
1570172862,np.nan,np.nan
1570172874,37.593743,127.018131
1570172893,np.nan,np.nan
1570172912,np.nan,np.nan
1570172932,37.592327,127.014319
1570172993,37.592205,127.013927
1570173023,np.nan,np.nan
1570173053,37.590797,127.011081
1570173095,37.589853,127.009232
1570173095,37.589853,127.009232
1570173114,np.nan,np.nan
1570173133,np.nan,np.nan
1570173152,np.nan,np.nan
1570173171,np.nan,np.nan
1570173190,np.nan,np.nan
1570173209,np.nan,np.nan
1570173234,37.586394,127.001837
1570173246,np.nan,np.nan
1570173258,np.nan,np.nan
1570173270,np.nan,np.nan
1570173282,np.nan,np.nan
1570173296,37.582671,126.99834
1570173333,37.582671,126.99834
1570173354,np.nan,np.nan
1570173375,np.nan,np.nan
1570173396,np.nan,np.nan
1570173417,37.579183,126.996566
1570173436,np.nan,np.nan
1570173455,np.nan,np.nan
1570173475,37.575952,126.997219
1570173505,np.nan,np.nan
1570173536,37.573751,126.997497
1570173596,37.573074,126.997542
1570173626,np.nan,np.nan
1570173656,37.570722,126.996908
1570173676,np.nan,np.nan
1570173697,37.570575,126.99451
1570173723,np.nan,np.nan
1570173749,np.nan,np.nan
1570173777,37.570407,126.990246
1570173837,37.570302,126.988232
1570173897,37.570299,126.988194
1570173950,37.570257,126.986247
1570173998,37.570293,126.984031
1570174018,np.nan,np.nan
1570174038,np.nan,np.nan
1570174058,np.nan,np.nan
1570174078,37.56646,126.982581
1570174118,37.566446,126.982581
1570174152,np.nan,np.nan
