1570054517.0,37.647445,127.016531
1570054539,np.nan,np.nan
1570054561,np.nan,np.nan
1570054584,37.649326,127.013869
1570054600,np.nan,np.nan
1570054617,37.65106,127.013138
1570054633,np.nan,np.nan
1570054649,np.nan,np.nan
1570054665,np.nan,np.nan
1570054681,np.nan,np.nan
1570054698,37.65573,127.013244
1570054728,np.nan,np.nan
1570054758,37.657592,127.013661
1570054788,np.nan,np.nan
1570054819,37.660002,127.013807
1570054849,np.nan,np.nan
1570054879,37.661939,127.013243
1570054909,np.nan,np.nan
1570054939,37.663796,127.012152
1570054999,37.663656,127.012232
