1570054514.0,37.677262,127.045103
1570054541,np.nan,np.nan
1570054569,37.67965,127.045399
1570054589,np.nan,np.nan
1570054609,np.nan,np.nan
1570054629,37.682501,127.045906
1570054703,37.682788,127.045959
1570054710,np.nan,np.nan
1570054717,np.nan,np.nan
1570054724,np.nan,np.nan
1570054731,np.nan,np.nan
1570054738,np.nan,np.nan
1570054750,37.688568,127.045813
1570054823,37.68888,127.04563
1570054850,37.690167,127.045467
