1570136240.0,37.576472,127.085931
1570136260,np.nan,np.nan
1570136280,np.nan,np.nan
1570136301,37.579311,127.087193
1570136331,np.nan,np.nan
1570136361,37.581349,127.088623
1570136421,37.583107,127.08849
1570136437,np.nan,np.nan
1570136453,np.nan,np.nan
1570136469,np.nan,np.nan
1570136486,37.586754,127.088176
1570136542,37.588132,127.087675
1570136602,37.588159,127.087666
1570136662,37.589331,127.087428
1570136693,np.nan,np.nan
1570136724,37.591963,127.086739
1570136783,37.592473,127.086595
1570136813,np.nan,np.nan
1570136844,37.594972,127.085958
1570136903,37.595813,127.085743
1570136963,37.596079,127.08567
1570137024,37.595999,127.083999
1570137034,np.nan,np.nan
1570137044,np.nan,np.nan
1570137054,np.nan,np.nan
1570137064,np.nan,np.nan
1570137074,np.nan,np.nan
1570137084,37.594349,127.077398
1570137144,37.594022,127.076102
1570137154,np.nan,np.nan
1570137164,np.nan,np.nan
1570137174,np.nan,np.nan
1570137184,np.nan,np.nan
1570137194,np.nan,np.nan
1570137205,37.592277,127.069446
1570137220,np.nan,np.nan
1570137235,np.nan,np.nan
1570137250,np.nan,np.nan
1570137265,37.591039,127.06505
1570137285,37.590535,127.063468
1570137335,np.nan,np.nan
1570137386,37.589698,127.0607
1570137401,np.nan,np.nan
1570137416,np.nan,np.nan
1570137431,np.nan,np.nan
1570137446,37.588142,127.055793
1570137466,np.nan,np.nan
1570137486,np.nan,np.nan
1570137506,37.586312,127.051929
1570137516,np.nan,np.nan
1570137526,np.nan,np.nan
1570137536,np.nan,np.nan
1570137546,np.nan,np.nan
1570137558,37.58278,127.048395
1570137621,37.58269,127.048315
1570137636,np.nan,np.nan
1570137651,np.nan,np.nan
1570137667,37.580246,127.045149
1570137747,37.580174,127.045188
1570137759,np.nan,np.nan
1570137771,np.nan,np.nan
1570137783,np.nan,np.nan
1570137797,37.578782,127.040712
1570137853,37.578688,127.040272
1570137870,np.nan,np.nan
1570137887,np.nan,np.nan
1570137904,np.nan,np.nan
1570137922,37.578222,127.035507
1570137933,np.nan,np.nan
1570137944,np.nan,np.nan
1570137955,np.nan,np.nan
1570137968,37.577894,127.030777
1570138028,37.577302,127.028701
1570138067,np.nan,np.nan
1570138106,37.576448,127.025787
1570138149,37.576044,127.024439
1570138217,37.576801,127.023265
1570138237,np.nan,np.nan
1570138257,np.nan,np.nan
1570138277,37.579835,127.022486
1570138330,37.580898,127.021798
1570138360,np.nan,np.nan
1570138390,37.583302,127.020513
1570138451,37.58484,127.019679
1570138466,np.nan,np.nan
1570138481,np.nan,np.nan
1570138496,np.nan,np.nan
1570138511,37.588474,127.017275
1570138575,37.588953,127.016681
1570138605,np.nan,np.nan
1570138636,37.590838,127.014361
1570138663,np.nan,np.nan
1570138691,37.590882,127.01124
1570138726,np.nan,np.nan
1570138761,37.589853,127.009232
1570138786,np.nan,np.nan
1570138812,37.588524,127.0065
1570138872,37.588074,127.004856
1570138892,np.nan,np.nan
1570138912,np.nan,np.nan
1570138932,37.586062,127.001552
1570138992,37.585835,127.001371
1570138999,np.nan,np.nan
1570139006,np.nan,np.nan
1570139013,np.nan,np.nan
1570139020,37.582671,126.99834
1570139051,np.nan,np.nan
1570139082,np.nan,np.nan
1570139113,37.579578,126.996468
1570139143,np.nan,np.nan
1570139173,37.577238,126.997001
1570139193,37.576298,126.996532
1570139207,np.nan,np.nan
1570139221,np.nan,np.nan
1570139235,np.nan,np.nan
1570139249,np.nan,np.nan
1570139263,np.nan,np.nan
1570139277,np.nan,np.nan
1570139295,37.577421,126.987969
1570139309,np.nan,np.nan
1570139323,np.nan,np.nan
1570139337,np.nan,np.nan
1570139354,37.575854,126.983813
1570139415,37.575902,126.982017
1570139444,np.nan,np.nan
1570139474,37.575977,126.97947
1570139534,37.575921,126.977701
1570139564,np.nan,np.nan
1570139595,37.575889,126.974723
1570139618,np.nan,np.nan
1570139641,np.nan,np.nan
1570139665,37.576183,126.971324
1570139725,37.576099,126.971237
1570139732,np.nan,np.nan
1570139739,np.nan,np.nan
1570139747,37.575136,126.967991
1570139761,np.nan,np.nan
1570139775,np.nan,np.nan
1570139789,np.nan,np.nan
1570139803,np.nan,np.nan
1570139817,np.nan,np.nan
1570139836,37.572486,126.961774
1570139844,np.nan,np.nan
1570139852,np.nan,np.nan
1570139860,np.nan,np.nan
1570139868,np.nan,np.nan
1570139876,37.571234,126.955858
1570139884,np.nan,np.nan
1570139892,np.nan,np.nan
1570139900,np.nan,np.nan
1570139908,np.nan,np.nan
1570139916,np.nan,np.nan
1570139924,np.nan,np.nan
1570139932,np.nan,np.nan
1570139940,np.nan,np.nan
1570139956,37.566375,126.946711
1570139968,np.nan,np.nan
1570139980,np.nan,np.nan
1570139992,np.nan,np.nan
1570140004,np.nan,np.nan
1570140016,37.562767,126.943239
1570140023,np.nan,np.nan
1570140030,np.nan,np.nan
1570140037,np.nan,np.nan
1570140046,37.560133,126.938924
1570140136,37.560078,126.937267
1570140200,37.560157,126.9355
1570140213,np.nan,np.nan
1570140226,np.nan,np.nan
1570140239,np.nan,np.nan
1570140255,37.562533,126.931462
1570140261,np.nan,np.nan
1570140267,np.nan,np.nan
1570140273,np.nan,np.nan
1570140279,np.nan,np.nan
1570140285,np.nan,np.nan
1570140296,37.566357,126.925786
1570140310,np.nan,np.nan
1570140324,np.nan,np.nan
1570140338,np.nan,np.nan
1570140352,np.nan,np.nan
1570140366,np.nan,np.nan
1570140383,37.56771,126.918304
1570140437,37.568417,126.916707
1570140457,np.nan,np.nan
1570140477,np.nan,np.nan
1570140497,37.570788,126.919639
1570140517,np.nan,np.nan
1570140537,np.nan,np.nan
1570140558,37.572679,126.922233
1570140588,np.nan,np.nan
1570140618,37.574562,126.922037
1570140648,np.nan,np.nan
1570140678,37.576849,126.920282
1570140738,37.577506,126.92201
1570140772,np.nan,np.nan
1570140807,37.576647,126.92493
1570140861,37.575286,126.925184
1570140861,37.575286,126.925184
1570140861,37.575286,126.925184
1570140861,37.575286,126.925184
1570141047,37.575286,126.925184
1570141075,np.nan,np.nan
1570141103,np.nan,np.nan
1570141131,np.nan,np.nan
1570141160,37.572383,126.921682
1570141220,37.572383,126.921682
1570141266,37.57126,126.920025
1570141284,np.nan,np.nan
1570141302,np.nan,np.nan
1570141320,np.nan,np.nan
1570141340,37.568492,126.91656
1570141401,37.568073,126.916965
1570141421,np.nan,np.nan
1570141441,np.nan,np.nan
1570141461,37.56685,126.92011
1570141469,np.nan,np.nan
1570141477,np.nan,np.nan
1570141485,np.nan,np.nan
1570141495,37.566242,126.925073
1570141508,np.nan,np.nan
1570141521,np.nan,np.nan
1570141534,np.nan,np.nan
1570141547,np.nan,np.nan
1570141560,np.nan,np.nan
1570141573,np.nan,np.nan
1570141586,37.56177,126.932045
1570141613,np.nan,np.nan
1570141641,37.560412,126.934043
1570141701,37.559935,126.9357
1570141708,np.nan,np.nan
1570141716,37.559967,126.938451
1570141821,37.560161,126.940172
1570141835,np.nan,np.nan
1570141849,np.nan,np.nan
1570141865,37.5626,126.943301
1570141890,np.nan,np.nan
1570141915,np.nan,np.nan
1570141942,37.56514,126.945961
1570142002,37.566356,126.946899
1570142017,np.nan,np.nan
1570142032,np.nan,np.nan
1570142047,np.nan,np.nan
1570142062,37.569221,126.949699
1570142069,np.nan,np.nan
1570142076,np.nan,np.nan
1570142083,np.nan,np.nan
1570142090,np.nan,np.nan
1570142097,np.nan,np.nan
1570142104,np.nan,np.nan
1570142111,np.nan,np.nan
1570142123,37.57141,126.959128
1570142131,np.nan,np.nan
1570142139,np.nan,np.nan
1570142147,np.nan,np.nan
1570142155,np.nan,np.nan
1570142163,np.nan,np.nan
1570142171,np.nan,np.nan
1570142183,37.574291,126.967119
1570142198,np.nan,np.nan
1570142213,np.nan,np.nan
1570142228,np.nan,np.nan
1570142243,37.57591,126.971411
1570142303,37.57585,126.972321
1570142363,37.575709,126.973869
1570142378,np.nan,np.nan
1570142393,np.nan,np.nan
1570142408,np.nan,np.nan
1570142424,37.57573,126.978745
1570142484,37.575749,126.979179
1570142514,np.nan,np.nan
1570142544,37.575584,126.981964
1570142604,37.575771,126.98396
1570142634,np.nan,np.nan
1570142665,37.576667,126.985951
1570142725,37.57692,126.986462
1570142755,np.nan,np.nan
1570142785,37.577309,126.989378
1570142845,37.577303,126.99003
1570142857,np.nan,np.nan
1570142869,np.nan,np.nan
1570142881,np.nan,np.nan
1570142893,np.nan,np.nan
1570142905,37.576136,126.996338
1570142965,37.575816,126.997226
1570142985,np.nan,np.nan
