1570133710.0,37.625726,127.012421
1570133725,np.nan,np.nan
1570133740,np.nan,np.nan
1570133755,np.nan,np.nan
1570133771,37.630039,127.013428
1570135067,np.nan,np.nan
1570136364,37.631928,127.013637
1570136413,37.630782,127.013638
1570136428,np.nan,np.nan
1570136443,np.nan,np.nan
1570136458,np.nan,np.nan
1570136474,37.627257,127.012214
1570136489,np.nan,np.nan
1570136504,np.nan,np.nan
1570136519,np.nan,np.nan
1570136535,37.623591,127.012929
1570136565,np.nan,np.nan
1570136595,37.621629,127.012625
1570136655,37.620367,127.011907
1570136725,37.620191,127.013356
1570136775,37.62014,127.015022
1570136807,np.nan,np.nan
1570136839,37.619872,127.018242
1570136895,37.619638,127.020341
1570136925,np.nan,np.nan
1570136956,37.617662,127.021538
1570136990,np.nan,np.nan
1570137024,37.615398,127.022109
1570137031,np.nan,np.nan
1570137038,np.nan,np.nan
1570137045,np.nan,np.nan
1570137055,37.611532,127.022039
1570137116,37.611532,127.022039
1570137136,np.nan,np.nan
1570137156,np.nan,np.nan
1570137176,np.nan,np.nan
1570137198,37.607402,127.023542
1570137212,np.nan,np.nan
1570137226,np.nan,np.nan
1570137240,np.nan,np.nan
1570137255,37.603609,127.024183
1570137267,np.nan,np.nan
1570137279,np.nan,np.nan
1570137291,np.nan,np.nan
1570137303,np.nan,np.nan
1570137317,37.598811,127.021709
1570137380,37.598246,127.021648
1570137391,np.nan,np.nan
1570137402,np.nan,np.nan
1570137413,np.nan,np.nan
1570137424,np.nan,np.nan
1570137435,37.593842,127.018163
1570137495,37.593347,127.017598
1570137515,np.nan,np.nan
1570137535,37.59242,127.014705
1570137615,37.590722,127.014341
1570137677,37.590202,127.014983
1570137696,np.nan,np.nan
1570137715,np.nan,np.nan
1570137735,37.588141,127.017517
1570137770,np.nan,np.nan
1570137805,37.585851,127.018921
1570137855,37.58423,127.019856
1570137890,np.nan,np.nan
1570137926,37.582396,127.020796
1570137951,np.nan,np.nan
1570137976,37.580645,127.021787
1570138006,np.nan,np.nan
1570138036,37.578417,127.023009
1570138056,np.nan,np.nan
1570138076,np.nan,np.nan
1570138096,37.57568,127.022801
1570138118,np.nan,np.nan
1570138140,np.nan,np.nan
1570138162,37.574183,127.019281
1570138180,np.nan,np.nan
1570138198,np.nan,np.nan
1570138216,37.573084,127.015547
1570138246,np.nan,np.nan
1570138276,37.572219,127.012684
1570138336,37.571872,127.011188
1570138377,37.571483,127.009233
1570138403,np.nan,np.nan
1570138429,np.nan,np.nan
1570138457,37.571159,127.005831
1570138487,np.nan,np.nan
1570138517,37.571106,127.002532
1570138577,37.569899,127.001898
1570138608,np.nan,np.nan
1570138639,37.567806,127.00193
1570138673,np.nan,np.nan
1570138707,37.566818,126.999259
1570138724,np.nan,np.nan
1570138741,np.nan,np.nan
1570138758,37.566588,126.995841
1570138773,np.nan,np.nan
1570138788,np.nan,np.nan
1570138803,np.nan,np.nan
1570138818,37.566317,126.990374
1570138840,np.nan,np.nan
1570138862,np.nan,np.nan
1570138886,37.566246,126.986523
1570138939,37.566129,126.984384
1570138999,37.566103,126.982946
1570139014,37.564492,126.982065
1570139066,np.nan,np.nan
1570139119,37.562207,126.981307
1570139180,37.561315,126.981625
1570139210,np.nan,np.nan
1570139240,37.561174,126.978407
1570139300,37.560595,126.976309
1570139360,37.560043,126.975297
1570139390,np.nan,np.nan
1570139420,37.558354,126.973541
1570139480,37.557268,126.972617
1570139511,37.555475,126.972503
1570139578,37.555475,126.972503
1570139641,37.554356,126.972893
1570139655,np.nan,np.nan
1570139669,np.nan,np.nan
1570139683,np.nan,np.nan
1570139697,np.nan,np.nan
1570139711,37.549534,126.971708
1570139711,37.549534,126.971708
1570139733,np.nan,np.nan
1570139755,np.nan,np.nan
1570139777,np.nan,np.nan
1570139799,np.nan,np.nan
1570139821,np.nan,np.nan
1570139848,37.543756,126.972232
1570139875,np.nan,np.nan
1570139902,37.541468,126.972822
1570139911,np.nan,np.nan
1570139920,np.nan,np.nan
1570139929,np.nan,np.nan
1570139938,np.nan,np.nan
1570139947,np.nan,np.nan
1570139959,37.535985,126.974161
1570139972,np.nan,np.nan
1570139985,np.nan,np.nan
1570139998,np.nan,np.nan
1570140011,np.nan,np.nan
1570140027,37.53205,126.970564
1570140059,37.53205,126.970564
1570140059,37.53205,126.970564
1570140087,np.nan,np.nan
1570140115,np.nan,np.nan
1570140143,np.nan,np.nan
1570140171,np.nan,np.nan
1570140203,37.527811,126.966375
1570140218,np.nan,np.nan
1570140233,np.nan,np.nan
1570140248,np.nan,np.nan
1570140264,37.52435,126.963155
1570140276,np.nan,np.nan
1570140288,np.nan,np.nan
1570140300,np.nan,np.nan
1570140312,np.nan,np.nan
1570140324,37.519706,126.960033
1570140355,np.nan,np.nan
1570140387,37.517671,126.958593
1570140396,np.nan,np.nan
1570140405,np.nan,np.nan
1570140414,np.nan,np.nan
1570140423,np.nan,np.nan
1570140432,np.nan,np.nan
1570140444,37.512714,126.954212
1570140474,np.nan,np.nan
1570140505,37.512584,126.951563
1570140517,np.nan,np.nan
1570140529,np.nan,np.nan
1570140542,37.513315,126.947977
1570140582,37.513315,126.947977
1570140607,np.nan,np.nan
1570140632,np.nan,np.nan
1570140657,np.nan,np.nan
1570140684,37.513823,126.943271
1570140714,np.nan,np.nan
1570140744,37.513668,126.940662
1570140804,37.512091,126.940121
1570140816,np.nan,np.nan
1570140828,np.nan,np.nan
1570140840,np.nan,np.nan
1570140853,37.508211,126.939968
1570140871,np.nan,np.nan
1570140889,np.nan,np.nan
1570140907,np.nan,np.nan
1570140926,37.504676,126.938522
1570140955,np.nan,np.nan
1570140985,37.503302,126.936356
1570141015,np.nan,np.nan
1570141046,37.502099,126.934399
1570141066,np.nan,np.nan
1570141086,np.nan,np.nan
1570141106,37.500427,126.931619
1570141136,np.nan,np.nan
1570141166,37.499739,126.929174
1570141226,37.499748,126.9282
1570141236,np.nan,np.nan
1570141246,37.497775,126.927841
1570141279,np.nan,np.nan
1570141312,np.nan,np.nan
1570141347,37.494261,126.927213
1570141367,np.nan,np.nan
1570141387,37.492359,126.926653
1570141427,np.nan,np.nan
1570141467,37.490106,126.92749
1570141527,37.489876,126.927605
1570141546,np.nan,np.nan
1570141565,np.nan,np.nan
1570141585,37.486635,126.929003
1570141648,37.485216,126.929481
1570141688,37.484373,126.929591
1570141759,37.482767,126.929638
1570141828,37.48253,126.929768
1570141869,37.481614,126.929836
1570141889,np.nan,np.nan
1570141909,np.nan,np.nan
1570141929,37.478948,126.931494
1570141989,37.477918,126.932724
1570142049,37.477473,126.934374
1570142079,np.nan,np.nan
1570142109,37.475403,126.936325
1570142124,np.nan,np.nan
1570142139,np.nan,np.nan
1570142154,np.nan,np.nan
1570142169,37.472856,126.933011
1570142230,37.471649,126.933565
1570142262,np.nan,np.nan
1570142294,37.469873,126.93295
1570142330,np.nan,np.nan
1570142367,37.467843,126.931837
1570142411,37.467464,126.931665
1570142431,np.nan,np.nan
1570142451,np.nan,np.nan
1570142471,37.464714,126.931415
1570142491,np.nan,np.nan
1570142511,np.nan,np.nan
1570142531,37.461345,126.931771
1570142552,np.nan,np.nan
1570142573,np.nan,np.nan
1570142595,37.458568,126.929354
1570142623,np.nan,np.nan
1570142652,37.460347,126.927192
1570142670,np.nan,np.nan
1570142688,np.nan,np.nan
1570142706,np.nan,np.nan
1570142726,37.458697,126.922015
1570142757,37.458457,126.921818
1570142770,np.nan,np.nan
1570142783,np.nan,np.nan
1570142796,np.nan,np.nan
1570142809,np.nan,np.nan
1570142822,np.nan,np.nan
1570142839,37.452605,126.920828
1570142849,np.nan,np.nan
1570142859,np.nan,np.nan
1570142869,np.nan,np.nan
1570142879,np.nan,np.nan
1570142889,np.nan,np.nan
1570142902,37.44672,126.918845
1570142915,np.nan,np.nan
1570142928,np.nan,np.nan
1570142941,np.nan,np.nan
1570142954,37.443057,126.915886
1570142960,np.nan,np.nan
1570142966,np.nan,np.nan
1570142972,np.nan,np.nan
1570142978,np.nan,np.nan
1570142984,np.nan,np.nan
1570142990,np.nan,np.nan
1570142996,np.nan,np.nan
1570143002,np.nan,np.nan
1570143014,37.434836,126.914088
1570143049,np.nan,np.nan
1570143084,37.432337,126.915125
