1570133707.0,37.635322,127.023339
1570133737,np.nan,np.nan
1570133767,37.63738,127.025029
1570133842,37.637665,127.025341
1570133853,np.nan,np.nan
1570133864,np.nan,np.nan
1570133875,np.nan,np.nan
1570133888,37.640805,127.028747
1570133948,37.642058,127.030078
1570134008,37.642896,127.031006
1570134038,np.nan,np.nan
1570134069,37.644546,127.032396
1570134084,np.nan,np.nan
1570134099,np.nan,np.nan
1570134114,np.nan,np.nan
1570134129,37.647937,127.034411
1570134194,37.648398,127.034685
1570134203,np.nan,np.nan
1570134212,np.nan,np.nan
1570134221,np.nan,np.nan
1570134230,np.nan,np.nan
1570134239,np.nan,np.nan
1570134250,37.65388,127.037955
1570134280,np.nan,np.nan
1570134310,37.656205,127.039337
1570134345,np.nan,np.nan
1570134380,37.658205,127.040517
1570134430,37.659532,127.04131
1570134445,np.nan,np.nan
1570134460,np.nan,np.nan
1570134475,np.nan,np.nan
1570134490,37.663268,127.04267
1570134510,np.nan,np.nan
1570134530,np.nan,np.nan
1570134550,37.666728,127.043223
1570134611,37.666744,127.043226
1570134631,np.nan,np.nan
1570134651,np.nan,np.nan
1570134671,37.670084,127.043802
1570134731,37.67103,127.043955
1570134797,37.67275,127.044333
1570134810,np.nan,np.nan
1570134823,np.nan,np.nan
1570134836,np.nan,np.nan
1570134852,37.676861,127.044927
1570134872,np.nan,np.nan
1570134892,np.nan,np.nan
1570134912,37.680361,127.045518
1570134942,np.nan,np.nan
1570134972,37.68262,127.045928
1570134984,np.nan,np.nan
1570134996,np.nan,np.nan
1570135008,np.nan,np.nan
1570135020,np.nan,np.nan
1570135033,37.687148,127.045917
1570135093,37.688681,127.045659
1570135153,37.690178,127.045466
1570137135,37.689727,127.043956
1570137195,37.69029,127.045158
1570137255,37.690292,127.045181
1570137328,37.688951,127.045469
1570137337,np.nan,np.nan
1570137346,np.nan,np.nan
1570137355,np.nan,np.nan
1570137364,np.nan,np.nan
1570137375,37.684037,127.045923
1570137395,np.nan,np.nan
1570137415,np.nan,np.nan
1570137436,37.680831,127.0454
1570137496,37.680832,127.0454
1570137511,np.nan,np.nan
1570137526,np.nan,np.nan
1570137541,np.nan,np.nan
1570137558,37.677199,127.044801
1570137569,np.nan,np.nan
1570137580,np.nan,np.nan
1570137591,np.nan,np.nan
1570137602,np.nan,np.nan
1570137616,37.672348,127.043982
1570137646,np.nan,np.nan
1570137677,37.669999,127.043577
1570137691,np.nan,np.nan
1570137705,np.nan,np.nan
1570137719,np.nan,np.nan
1570137736,37.666189,127.042922
1570137756,np.nan,np.nan
1570137776,np.nan,np.nan
1570137796,37.663078,127.042441
1570137826,np.nan,np.nan
1570137856,37.661065,127.041991
1570137871,np.nan,np.nan
1570137886,np.nan,np.nan
1570137901,np.nan,np.nan
1570137916,37.657607,127.039962
1570137931,np.nan,np.nan
1570137946,np.nan,np.nan
1570137961,np.nan,np.nan
1570137976,37.653696,127.037646
1570138006,np.nan,np.nan
1570138036,37.651297,127.036234
1570138051,np.nan,np.nan
1570138066,np.nan,np.nan
1570138081,np.nan,np.nan
1570138097,37.647783,127.034137
1570138117,np.nan,np.nan
1570138137,np.nan,np.nan
1570138157,37.645024,127.032496
1570138187,np.nan,np.nan
1570138217,37.642905,127.030775
1570138237,np.nan,np.nan
1570138257,np.nan,np.nan
1570138277,37.640323,127.028003
1570138337,37.640029,127.027688
1570138367,np.nan,np.nan
1570138397,37.638216,127.025708
1570138427,np.nan,np.nan
1570138458,37.636669,127.024018
1570138518,37.635014,127.023224
1570138528,np.nan,np.nan
1570138538,np.nan,np.nan
1570138548,np.nan,np.nan
1570138558,np.nan,np.nan
1570138568,np.nan,np.nan
1570138578,37.629735,127.024799
1570138588,np.nan,np.nan
1570138598,np.nan,np.nan
1570138608,np.nan,np.nan
1570138618,np.nan,np.nan
1570138631,37.62487,127.026649
1570138699,37.62487,127.026649
1570138711,np.nan,np.nan
1570138723,np.nan,np.nan
1570138735,np.nan,np.nan
1570138747,np.nan,np.nan
1570138759,37.619946,127.028618
1570138789,np.nan,np.nan
1570138819,37.618096,127.029364
1570138828,np.nan,np.nan
1570138837,np.nan,np.nan
1570138846,np.nan,np.nan
1570138856,37.613762,127.029933
1570138908,37.613762,127.029933
1570138908,37.613762,127.029933
1570138927,np.nan,np.nan
1570138946,np.nan,np.nan
1570138965,np.nan,np.nan
1570138984,np.nan,np.nan
1570139003,np.nan,np.nan
1570139022,np.nan,np.nan
1570139041,np.nan,np.nan
1570139060,37.606588,127.027884
1570139080,np.nan,np.nan
1570139100,np.nan,np.nan
1570139120,37.6046,127.025542
1570139180,37.603908,127.024627
1570139195,np.nan,np.nan
1570139210,np.nan,np.nan
1570139225,np.nan,np.nan
1570139240,37.60044,127.021809
1570139300,37.598669,127.021676
1570139310,np.nan,np.nan
1570139320,np.nan,np.nan
1570139330,np.nan,np.nan
1570139340,np.nan,np.nan
1570139350,np.nan,np.nan
1570139361,37.593743,127.018131
1570139421,37.593684,127.017983
1570139436,np.nan,np.nan
1570139451,np.nan,np.nan
1570139466,np.nan,np.nan
1570139481,37.592115,127.01364
1570139490,np.nan,np.nan
1570139499,np.nan,np.nan
1570139508,np.nan,np.nan
1570139520,37.589853,127.009232
1570139552,37.589853,127.009232
1570139570,np.nan,np.nan
1570139588,np.nan,np.nan
1570139606,np.nan,np.nan
1570139624,np.nan,np.nan
1570139642,np.nan,np.nan
1570139662,37.586955,127.0024
1570139722,37.586373,127.001819
1570139783,37.585798,127.001453
1570139802,np.nan,np.nan
1570139821,np.nan,np.nan
1570139842,37.583317,126.998996
1570139900,37.582671,126.99834
1570139911,np.nan,np.nan
1570139922,np.nan,np.nan
1570139933,np.nan,np.nan
1570139945,37.579183,126.996566
1570139960,np.nan,np.nan
1570139975,np.nan,np.nan
1570139990,np.nan,np.nan
1570140005,np.nan,np.nan
1570140023,37.574381,126.997443
1570140084,37.572713,126.997568
1570140099,np.nan,np.nan
1570140114,np.nan,np.nan
1570140129,np.nan,np.nan
1570140144,37.570533,126.993141
1570140159,np.nan,np.nan
1570140174,np.nan,np.nan
1570140189,np.nan,np.nan
1570140204,37.570322,126.988551
1570140264,37.570304,126.988257
1570140325,37.570257,126.986247
1570140355,np.nan,np.nan
1570140385,37.570295,126.983789
1570140445,37.570291,126.983387
1570140505,37.570273,126.981717
1570140565,37.570271,126.979974
1570140625,37.570296,126.978257
1570140655,np.nan,np.nan
1570140685,37.570243,126.975804
1570140715,np.nan,np.nan
1570140745,37.570213,126.972732
1570140760,np.nan,np.nan
1570140775,np.nan,np.nan
1570140790,np.nan,np.nan
1570140805,37.567675,126.968338
1570140835,np.nan,np.nan
1570140866,37.566103,126.966859
